time,CAR_pH,flow,temp,salt,OGM_doc,NIT_amm,OXY_oxy,NIT_nit,PHS_frp,CAR_pH
2015-03-31 12:00:00,6.62,0,6.0283,0,0,0,0,0,0,7
2015-04-01 12:00:00,6.62,0,6.108485714,0,0,0,0,0,0,7
2015-04-02 12:00:00,6.62,0,6.188671429,0,0,0,0,0,0,7
2015-04-03 12:00:00,6.62,0,6.268857143,0,0,0,0,0,0,7
2015-04-04 12:00:00,6.62,0,6.349042857,0,0,0,0,0,0,7
2015-04-05 12:00:00,6.62,0,6.429228571,0,0,0,0,0,0,7
2015-04-06 12:00:00,6.62,0,6.509414286,0,0,0,0,0,0,7
2015-04-07 12:00:00,6.35,0,6.5896,0,0,0,0,0,0,7
2015-04-08 12:00:00,6.35,0,6.63465,0,0,0,0,0,0,7
2015-04-09 12:00:00,6.35,0,6.6797,0,0,0,0,0,0,7
2015-04-10 12:00:00,6.35,0,6.72475,0,0,0,0,0,0,7
2015-04-11 12:00:00,6.35,0,6.7698,0,0,0,0,0,0,7
2015-04-12 12:00:00,6.35,0,6.81485,0,0,0,0,0,0,7
2015-04-13 12:00:00,6.31,0,6.8599,0,0,0,0,0,0,7
2015-04-14 12:00:00,6.31,0,6.876566667,0,0,0,0,0,0,7
2015-04-15 12:00:00,6.31,0,6.893233333,0,0,0,0,0,0,7
2015-04-16 12:00:00,6.31,0,6.9099,0,0,0,0,0,0,7
2015-04-17 12:00:00,6.31,0,6.92756,0,0,0,0,0,0,7
2015-04-18 12:00:00,6.31,0,6.94522,0,0,0,0,0,0,7
2015-04-19 12:00:00,6.31,0,6.96288,0,0,0,0,0,0,7
2015-04-20 12:00:00,6.31,0,6.98054,0,0,0,0,0,0,7
2015-04-21 12:00:00,6.75,0,6.9982,0,0,0,0,0,0,7
2015-04-22 12:00:00,6.75,0,7.073975,0,0,0,0,0,0,7
2015-04-23 12:00:00,6.75,0,7.14975,0,0,0,0,0,0,7
2015-04-24 12:00:00,6.75,0,7.225525,0,0,0,0,0,0,7
2015-04-25 12:00:00,6.75,0,7.3013,0,0,0,0,0,0,7
2015-04-26 12:00:00,6.75,0,7.2792,0,0,0,0,0,0,7
2015-04-27 12:00:00,6.75,0,7.2571,0,0,0,0,0,0,7
2015-04-28 12:00:00,6.3,0,7.235,0,0,0,0,0,0,7
2015-04-29 12:00:00,6.3,0,7.266266667,0,0,0,0,0,0,7
2015-04-30 12:00:00,6.3,0,7.297533333,0,0,0,0,0,0,7
2015-05-01 12:00:00,6.3,0,7.3288,0,0,0,0,0,0,7
2015-05-02 12:00:00,6.3,0,7.393566667,0,0,0,0,0,0,7
2015-05-03 12:00:00,6.3,0,7.458333333,0,0,0,0,0,0,7
2015-05-04 12:00:00,6.3,0,7.5231,0,0,0,0,0,0,7
2015-05-05 12:00:00,6.24,0.003783333,7.5436,0,0,0,220,0,0,7
2015-05-06 12:00:00,6.24,0.003783333,7.71235,0,0,0,220,0,0,7
2015-05-07 12:00:00,6.24,0.003783333,7.8811,0,0,0,220,0,0,7
2015-05-08 12:00:00,6.24,0.003783333,7.95895,0,0,0,220,0,0,7
2015-05-09 12:00:00,6.24,0.003783333,8.0368,0,0,0,220,0,0,7
2015-05-10 12:00:00,6.24,0.003783333,8.11465,0,0,0,220,0,0,7
2015-05-11 12:00:00,6.16,0.003783333,8.1925,0,0,0,220,0,0,7
2015-05-12 12:00:00,6.16,0.003783333,8.258733333,0,0,0,220,0,0,7
2015-05-13 12:00:00,6.16,0.003783333,8.324966667,0,0,0,220,0,0,7
2015-05-14 12:00:00,6.16,0.003783333,8.3912,0,0,0,220,0,0,7
2015-05-15 12:00:00,6.16,0.003783333,8.441225,0,0,0,220,0,0,7
2015-05-16 12:00:00,6.16,0.003783333,8.49125,0,0,0,220,0,0,7
2015-05-17 12:00:00,6.16,0.003783333,8.541275,0,0,0,220,0,0,7
